,Month,Year,Monthly occupancy rate in hotels in Paris region
0,January,2019,64.3
1,February,2019,66.8
2,March,2019,72.4
3,April,2019,79.3
4,Mai,2019,74.0
5,June,2019,88.0
6,July,2019,78.3
7,August,2019,67.8
8,September,2019,83.9
9,October,2019,81.5
10,November,2019,77.0
11,December,2019,67.3
12,January,2020,69.5
13,February,2020,65.6
14,March,2020,27.7
15,April,2020,19.0
16,Mai,2020,23.0
17,June,2020,30.7
18,July,2020,39.3
19,August,2020,34.1
20,September,2020,32.7
21,October,2020,29.1
22,November,2020,21.7
23,December,2020,25.9
