date,service,Match Happening-CL
2017-12-09,midi,0
2017-12-09,diner,1
2017-09-27,midi,0
2017-09-27,diner,1
2017-10-18,midi,0
2017-10-18,diner,1
2017-10-31,midi,0
2017-10-31,diner,1
2017-11-22,midi,0
2017-11-22,diner,1
2017-05-12,midi,0
2017-05-12,diner,1
2018-02-14,midi,0
2018-02-14,diner,1
2018-06-03,midi,0
2018-06-03,diner,1
2018-09-18,midi,0
2018-09-18,diner,1
2018-03-10,midi,0
2018-03-10,diner,1
2018-10-24,midi,0
2018-10-24,diner,1
2018-06-11,midi,0
2018-06-11,diner,1
2018-11-28,midi,0
2018-11-28,diner,1
2018-11-12,midi,0
2018-11-12,diner,1
2019-12-02,midi,0
2019-12-02,diner,1
2019-06-03,midi,0
2019-06-03,diner,1
2019-09-18,midi,0
2019-09-18,diner,1
2019-01-10,midi,0
2019-01-10,diner,1
2019-10-22,midi,0
2019-10-22,diner,1
2019-06-11,midi,0
2019-06-11,diner,1
2019-11-26,midi,0
2019-11-26,diner,1
2019-11-12,midi,0
2019-11-12,diner,1
2020-02-18,midi,0
2020-02-18,diner,1
2020-11-03,midi,0
2020-11-03,diner,1
2020-12-08,midi,0
2020-12-08,diner,1
2020-08-18,midi,0
2020-08-18,diner,1
2020-08-23,midi,0
2020-08-23,diner,1
2020-10-20,midi,0
2020-10-20,diner,1
2020-10-28,midi,0
2020-10-28,diner,1
2020-04-11,midi,0
2020-04-11,diner,1
2020-11-24,midi,0
2020-11-24,diner,1
2020-02-12,midi,0
2020-02-12,diner,1
2020-09-12,midi,0
2020-09-12,diner,1
2021-02-16,midi,0
2021-02-16,diner,1
2021-10-03,midi,0
2021-10-03,diner,1
2021-07-04,midi,0
2021-07-04,diner,1
2021-04-13,midi,0
2021-04-13,diner,1
2021-04-28,midi,0
2021-04-28,diner,1
2021-04-05,midi,0
2021-04-05,diner,1
